,yearID,PA,BB.,K.,BB.K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC.,lgID
105,1973,68880,9.00%,12.90%,0.7,0.263,0.332,0.39,0.722,0.128,4.1,0.283,NA,NA,11.1,7911,326.8,0.325,100,NL
106,1974,69518,9.50%,12.10%,0.78,0.262,0.334,0.379,0.714,0.117,4.6,0.284,NA,NA,30.1,7909,414.9,0.326,100,NL
107,1975,69377,9.30%,11.80%,0.79,0.265,0.336,0.383,0.72,0.118,4.6,0.287,NA,NA,33.2,7981,370.5,0.328,100,NL
108,1976,68696,8.80%,11.90%,0.74,0.263,0.329,0.374,0.703,0.112,4.7,0.285,NA,NA,3.5,7660,446.5,0.324,100,NL
109,1977,69720,9.00%,12.90%,0.7,0.269,0.337,0.41,0.747,0.141,4.8,0.291,NA,NA,21.8,8469,353.7,0.33,100,NL
110,1978,68083,9.00%,12.30%,0.73,0.262,0.33,0.385,0.715,0.123,4.8,0.284,NA,NA,36.6,7597,216.5,0.322,100,NL
111,1979,68930,8.70%,12.20%,0.71,0.269,0.334,0.399,0.734,0.13,4.8,0.29,NA,NA,11.6,8139,95.3,0.326,100,NL
112,1980,68907,8.40%,12.10%,0.69,0.267,0.329,0.387,0.716,0.12,5,0.289,NA,NA,29,7722,4.7,0.32,100,NL
113,1981,45728,8.70%,11.70%,0.74,0.262,0.328,0.376,0.704,0.114,4.9,0.285,NA,NA,22.6,5004,189.3,0.32,100,NL
114,1982,68861,8.40%,12.60%,0.67,0.266,0.329,0.386,0.715,0.12,5,0.289,NA,NA,35.5,7730,-10,0.318,100,NL
115,1983,68764,9.10%,13.40%,0.68,0.263,0.332,0.39,0.722,0.127,5,0.288,NA,NA,4.2,7918,141.2,0.322,100,NL
116,1984,68618,8.70%,13.60%,0.64,0.263,0.328,0.383,0.711,0.12,5,0.29,NA,NA,36.4,7721,63.7,0.319,100,NL
117,1985,68879,9.00%,13.30%,0.67,0.26,0.328,0.388,0.715,0.128,5,0.284,NA,NA,23,7827,2,0.318,100,NL
118,1986,69044,9.30%,14.60%,0.64,0.261,0.332,0.394,0.726,0.133,4.8,0.289,NA,NA,19.1,8020,58.9,0.322,100,NL
119,1987,69587,9.20%,14.50%,0.63,0.269,0.339,0.419,0.758,0.15,5.2,0.294,NA,NA,19.4,8781,235.3,0.33,100,NL
120,1988,68321,8.30%,13.90%,0.59,0.256,0.32,0.376,0.696,0.12,5.1,0.283,NA,NA,29.8,7414,-40.2,0.311,100,NL
121,1989,68898,8.80%,14.30%,0.61,0.254,0.321,0.378,0.699,0.124,4.6,0.281,NA,NA,2.1,7539,42.7,0.314,100,NL
122,1990,69186,8.80%,14.00%,0.62,0.264,0.331,0.397,0.728,0.133,4.9,0.29,NA,NA,42.8,8058,323.5,0.325,100,NL
123,1991,68732,8.80%,14.60%,0.6,0.258,0.325,0.386,0.711,0.128,5,0.285,NA,NA,9.7,7797,43.6,0.319,100,NL
124,1992,68903,8.50%,14.40%,0.59,0.259,0.325,0.381,0.706,0.122,4.8,0.289,NA,NA,13.2,7535,93.3,0.319,101,NL
125,1993,81408,8.50%,14.50%,0.59,0.271,0.336,0.413,0.749,0.142,5,0.298,NA,NA,34.6,10059,330.5,0.332,100,NL
126,1994,57986,8.80%,15.50%,0.57,0.274,0.342,0.429,0.771,0.155,4.9,0.304,NA,NA,-2.1,7471,129.5,0.336,100,NL
127,1995,72953,8.90%,16.10%,0.55,0.271,0.34,0.421,0.761,0.151,5,0.303,NA,NA,9.4,9225,120.9,0.335,100,NL
128,1996,82038,8.90%,16.40%,0.54,0.27,0.339,0.422,0.761,0.152,4.8,0.302,NA,NA,18.2,10375,-191.6,0.333,100,NL
129,1997,82145,9.10%,16.50%,0.56,0.271,0.342,0.425,0.767,0.154,5,0.304,NA,NA,7.2,10421,308.5,0.337,100,NL
130,1998,93975,9.00%,16.50%,0.55,0.269,0.339,0.424,0.764,0.155,4.5,0.301,NA,NA,-5.2,11896,262,0.335,100,NL
131,1999,95255,9.80%,16.00%,0.62,0.276,0.351,0.444,0.795,0.168,4.8,0.304,NA,NA,17.8,12915,513.1,0.347,100,NL
132,2000,95182,10.00%,16.20%,0.62,0.273,0.351,0.446,0.797,0.173,4.8,0.301,NA,NA,1,12954,456.7,0.346,100,NL
133,2001,93616,9.00%,17.10%,0.52,0.268,0.34,0.44,0.78,0.171,4.4,0.299,NA,NA,-31.9,12239,620.9,0.335,100,NL
134,2002,93704,9.30%,16.30%,0.57,0.266,0.34,0.423,0.763,0.157,4.4,0.296,-16.5,-23.1,2.4,11720,466.1,0.332,100,NL
135,2003,93980,9.00%,16.10%,0.56,0.269,0.341,0.431,0.771,0.162,4.3,0.298,-4,-9.4,-7.2,12061,538.6,0.335,100,NL
136,2004,94373,9.00%,16.30%,0.55,0.27,0.341,0.437,0.778,0.167,4.4,0.298,12.6,-19.1,17.1,12165,463.1,0.336,100,NL
137,2005,93497,8.80%,16.10%,0.55,0.268,0.339,0.428,0.767,0.159,4.4,0.299,-27,-7.9,1.9,11745,534.9,0.333,100,NL
138,2006,94664,8.90%,16.40%,0.54,0.272,0.343,0.442,0.785,0.17,4.8,0.302,33.8,5.7,1.5,12380,500.1,0.338,100,NL
139,2007,95178,8.80%,16.40%,0.54,0.273,0.342,0.436,0.778,0.163,4.6,0.304,-1,-1.2,17.5,12359,585.3,0.338,100,NL
140,2008,94351,9.10%,17.10%,0.53,0.267,0.339,0.426,0.766,0.159,4.5,0.301,30.6,7.3,3.4,11850,490.5,0.335,100,NL
141,2009,93840,9.30%,17.50%,0.53,0.266,0.339,0.422,0.761,0.156,4.7,0.302,16.1,-4.6,-21.9,11543,300.6,0.333,100,NL
142,2010,93061,8.80%,18.50%,0.48,0.262,0.332,0.413,0.745,0.151,4.4,0.302,29.2,8.2,-16.8,11155,462.2,0.327,100,NL
143,2011,93114,8.40%,18.30%,0.46,0.259,0.326,0.403,0.73,0.144,4.6,0.299,-1.1,6.4,2.3,10750,293.2,0.32,100,NL
144,2012,92469,8.30%,19.20%,0.43,0.261,0.327,0.414,0.74,0.153,4.9,0.303,30,14.7,-5.9,11019,468.3,0.321,100,NL
145,2013,86959,8.00%,19.00%,0.42,0.258,0.323,0.401,0.723,0.143,4.3,0.3,14.4,-20.5,-9.9,9783,252.4,0.318,100,NL
146,2014,86575,7.80%,20.00%,0.39,0.256,0.32,0.396,0.716,0.139,4.4,0.304,-5.1,-4.4,-8.6,9721,414.1,0.316,100,NL
